Date,Home.Score,Home.IdCountry,Away.IdCountry,Away.Score
2018-06-14,5,RUS,KSA,0
2018-06-15,0,EGY,URU,1
2018-06-15,0,MAR,IRN,1
2018-06-15,3,POR,ESP,3
2018-06-16,2,FRA,AUS,1
2018-06-16,1,ARG,ISL,1
2018-06-16,0,PER,DEN,1
2018-06-16,2,CRO,NGA,0
2018-06-17,0,CRC,SRB,1
2018-06-17,0,GER,MEX,1
2018-06-17,1,BRA,SUI,1
2018-06-18,1,SWE,KOR,0
2018-06-18,3,BEL,PAN,0
2018-06-18,1,TUN,ENG,2
2018-06-19,1,COL,JPN,2
2018-06-19,1,POL,SEN,2
2018-06-19,3,RUS,EGY,1
2018-06-20,1,POR,MAR,0
2018-06-20,1,URU,KSA,0
2018-06-20,0,IRN,ESP,1
2018-06-21,1,DEN,AUS,1
2018-06-21,1,FRA,PER,0
2018-06-21,0,ARG,CRO,3
2018-06-22,2,BRA,CRC,0
2018-06-22,2,NGA,ISL,0
2018-06-22,1,SRB,SUI,2
2018-06-23,5,BEL,TUN,2
2018-06-23,1,KOR,MEX,2
2018-06-23,2,GER,SWE,1
2018-06-24,6,ENG,PAN,1
2018-06-24,2,JPN,SEN,2
2018-06-24,0,POL,COL,3
2018-06-25,3,URU,RUS,0
2018-06-25,2,KSA,EGY,1
2018-06-25,2,ESP,MAR,2
2018-06-25,1,IRN,POR,1
2018-06-26,NA,AUS,PER,NA
2018-06-26,NA,DEN,FRA,NA
2018-06-26,NA,NGA,ARG,NA
2018-06-26,NA,ISL,CRO,NA
2018-06-27,NA,KOR,GER,NA
2018-06-27,NA,MEX,SWE,NA
2018-06-27,NA,SRB,BRA,NA
2018-06-27,NA,SUI,CRC,NA
2018-06-28,NA,JPN,POL,NA
2018-06-28,NA,SEN,COL,NA
2018-06-28,NA,PAN,TUN,NA
2018-06-28,NA,ENG,BEL,NA
2018-06-30,NA,NA,NA,NA
2018-06-30,NA,URU,POR,NA
